"id","大会名","都道府県","地域","緯度","経度","開催月","開催週","開催日備考","種別","詳細種目","距離","定員","参加費","エントリー開始","エントリー締切","制限時間","公式サイトURL","エントリーURL","備考","要確認"
"1","東京マラソン","東京都","関東","35.6813","139.7671","3","1","","ロード","フルマラソン(42.195km)","42.195km","38000","21450","9月","11月","7時間","https://www.marathon.tokyo/","","世界メジャー大会",""
"2","大阪マラソン","大阪府","近畿","34.6937","135.5023","11","4","","ロード","フルマラソン(42.195km)","42.195km","30000","15000","8月","9月","7時間","https://www.osaka-marathon.com/","","",""
"3","北海道マラソン","北海道","北海道","43.0618","141.3545","8","4","","ロード","フルマラソン(42.195km)","42.195km","20000","13000","4月","6月","6時間","https://www.hokkaido-marathon.com/","","夏マラソン",""
"4","京都マラソン","京都府","近畿","35.0116","135.7681","2","3","","ロード","フルマラソン(42.195km)","42.195km","16000","13000","7月","9月","6時間","https://www.kyoto-marathon.com/","","","開催月を2月に修正"
"5","神戸マラソン","兵庫県","近畿","34.6901","135.1956","11","3","","ロード","フルマラソン(42.195km)","42.195km","20000","15000","5月","7月","6時間30分","https://www.kobe-marathon.net/","","",""
"6","横浜マラソン","神奈川県","関東","35.4437","139.6380","10","4","","ロード","フルマラソン(42.195km)","42.195km","25000","16000","4月","6月","6時間30分","https://yokohama-marathon.com/","","",""
"7","名古屋ウィメンズマラソン","愛知県","中部","35.1815","136.9066","3","2","","ロード","フルマラソン(42.195km)","42.195km","25000","15000","8月","10月","7時間","https://www.nagoya-womens-marathon.com/","","女性限定",""
"8","湘南国際マラソン","神奈川県","関東","35.3192","139.4860","12","1","","ロード","フルマラソン(42.195km)","42.195km","20000","16000","6月","8月","6時間","https://www.shonan-kokusai.jp/","","",""
"9","別府大分毎日マラソン","大分県","九州・沖縄","33.2382","131.6126","2","1","","ロード","フルマラソン(42.195km)","42.195km","5000","10000","8月","11月","4時間","https://www.betsudai.com/","","記録重視",""
"10","板橋Cityマラソン","東京都","関東","35.7735","139.6855","3","3","","ロード","フルマラソン(42.195km)","42.195km","20000","12000","9月","12月","6時間","https://itabashi-city-marathon.jp/","","",""
"11","ふくい桜マラソン","福井県","中部","36.0652","136.2219","3","4","","ロード","フルマラソン(42.195km)","42.195km","12000","10000","8月","11月","6時間30分","https://fukui-sakura-marathon.jp/","","",""
